Notes,FL FW used,ML FW used,Paper / Resource,IMO Importance,Categories,TRGs: Problems/Challenges,Contributions - Details,Contributions,Limitations & Future Work - Details,Limitations / Future Work,Results
,"FedScale, Generalist",Pytorch,REFL: Resource-Efficient Federated Learning (https://www.notion.so/REFL-Resource-Efficient-Federated-Learning-7499587ea8884bba96ca642aa80a69d8?pvs=21),great,"aggregation, performance, selection","low data diversity, node diversity, resource wastage","novel selection & aggregation
- highlight resource wastage & importance of stragglers (generality)
- smart participation selection (based on unavailability)
- staleness-aware aggregation","aggregation algo, proofs / convergence analysis, selection algo","- does not yet consider privacy or security
- evaluation based on classic datasets (MNIST, CIFAR-10) - might not reflect real non-IID data
- assumes homogeneous resources
- uses simple linear regression model for availability prediction - use more sophisticated/better alternatives
- use more factors for availability prediction like battery level, bandwidth, user preferences","data diversity, more factors, privacy & security, too simple technique","improved model quality, low impact on training time, reduced resource usage"
,not mentioned / custom,not mentioned / custom,EdgeFL: A Lightweight Decentralized Federated Learning Framework (https://www.notion.so/EdgeFL-A-Lightweight-Decentralized-Federated-Learning-Framework-cfb5a0fc38404e18810681c5b605b02d?pvs=21),good 2 know I guess,"novel structure, performance, proof-of-concept","complexity, customization, ease-of-use, scalability","- scalable edge-only (serverless) FL
— synchronous training
— rapid integration, prototyping, deployment",novel architecture/system,"- add resource optimizations like 
— model compression & quantization
—- for better communication efficiency on edge
- explore adaptive aggregation strategies
— based on network conditions, resources, data diversity 
- does assume P2P without addressing diverse network conditions
- no focus on security or privacy (e.g. malicious devices, model stealing, etc.)
- only image classification was checked","data diversity, further resource optimizations, more ML techniques, network conditions, privacy & security, smarter aggregation","better scalability, faster, improved model quality, user-friendlier"
,not mentioned / custom,Pytorch,Cluster-Based Secure Aggregation for Federated Learning (https://www.notion.so/Cluster-Based-Secure-Aggregation-for-Federated-Learning-d8e318ffe08541f2aa69803c8edc5f1b?pvs=21),critical / excellent,"clusters/tiers, security/privacy","communication overhead, computational overhead, node diversity, security/privacy","- novel cluster-based secure aggregation strategy for diverse nodes
— clustering based on processing score & GPS info/latency 
— better throughput
— reduces false-positive dropouts
- novel additive sharing-based masking scheme robust to dropouts","clustering algo, privacy/security scheme, proofs / convergence analysis, secure aggregation algo","- assumes that all participants are honest - not evaluated what happens with evil users
- server might become a bottleneck - can be resolved by using HFL (with cluster heads)
- only image classification was checked","more ML techniques, privacy & security","better dropout/straggler handling, better privacy/security, faster, reduced overhead, reduced resource usage"
,Flower,Pytorch,Federated Learning for Inference at Anytime and Anywhere (https://www.notion.so/Federated-Learning-for-Inference-at-Anytime-and-Anywhere-073ad6329c534365bda8c6d92d907775?pvs=21),moderate / potential,"performance, transformers",investigate X,"- parameter efficient (PE) learning method to adapt pre-trained Transformers FMs in FL
- novel PE adapter - modulates all layers of pre-trained Transformers
— flexible early predictions","Transformer focused, learning method, parameter-efficient (transfer)","- 
(very niche - Fl via transfer-learning on Transformers)","more ML techniques, no theoretical analysis/proof, privacy & security",better non-IID handling
,not mentioned / custom,not mentioned / custom,Deploying a Federated Learning Based AI Solution in a Hierarchical Edge Architecture (https://www.notion.so/Deploying-a-Federated-Learning-Based-AI-Solution-in-a-Hierarchical-Edge-Architecture-33400b2675d6490abbb1565085bc1683?pvs=21),good 2 know I guess,"hierarchical, proof-of-concept","industry vs research gap, investigate X",- show/deploy FL on hierarchical industry standard - HFL,proof of concept?,"- 
(proof of concept - that FL works on industry hierarchy)
(thus very minimal/primitive - what could be investigated: diverse networks, data, resources, proofs)",not specified,proof of concept?
,FLSim,Pytorch,Where to Begin? On the Impact of Pre-Training and Initialization in Federated Learning (https://www.notion.so/Where-to-Begin-On-the-Impact-of-Pre-Training-and-Initialization-in-Federated-Learning-7d8e77b7db4a4ea8b6e2cd0e1fa9a772?pvs=21),helpful - nice 2 know,"best-practice, performance",investigate X,"- look into init models for FL
— pretrained vs random ?
— pretrained (mostly) always better","best-practice, init model","- its hard to get a pre-trained model if the necessary data is privat, not yet available, etc
- pre-training might lead to bias
- only considers a specific (warm-start) init strategy","more factors, privacy & security","better non-IID handling, faster, improved model quality, reduced overhead"
,not mentioned / custom,not mentioned / custom,"Hierarchical Federated Learning with Momentum
Acceleration in Multi-Tier Networks (https://www.notion.so/Hierarchical-Federated-Learning-with-Momentum-Acceleration-in-Multi-Tier-Networks-0661f83e0b10411989c022921ebd9f80?pvs=21)",great,"aggregation, hierarchical, performance","performance, scalability","- faster & better FL training & aggregation algos
- hierarchical structure
- use ML momentum","aggregation algo, learning method, proofs / convergence analysis",- does not really cover/mention security/privacy aspects nor network conditions (as far as I know),"network conditions, privacy & security","better scalability, faster, improved model quality, reduced resource usage"
,TFF,TensorFlow,Hierarchical Federated Learning with Privacy (https://www.notion.so/Hierarchical-Federated-Learning-with-Privacy-442e2e951d03451589f320d180e74c2b?pvs=21),critical / excellent,"hierarchical, security/privacy","investigate X, security/privacy","- analyse benefits of HFL for security
- HFL secure aggregation ++
- hierarchical DP","privacy/security scheme, proofs / convergence analysis, secure aggregation algo","- number of (online) clients per zone has to be small?
- further privacy amplificactions?
- further privacy improvements",privacy & security,"better privacy/security, proof of concept?, reduced overhead"
,not mentioned / custom,"Keras, TensorFlow",Privacy-Preserving Federated Deep Learning for Cooperative Hierarchical Caching in Fog Computing (https://www.notion.so/Privacy-Preserving-Federated-Deep-Learning-for-Cooperative-Hierarchical-Caching-in-Fog-Computing-da931842fe114193840f087da48f49c0?pvs=21),great,"caching, hierarchical, performance","communication overhead, performance, resource wastage, security/privacy","- HFL caching scheme (algos & architecture)
- with AI training model to consider user history & context ","caching, novel architecture/system","- lack of convergence analysis
- blockchain-empowered FL to further improve security/privacy","no theoretical analysis/proof, privacy & security","better privacy/security, low impact on training time, reduced resource usage"
(superset of TiFL - i.e. ~ 2 papers in one),not mentioned / custom,TensorFlow,FedAT: A High-Performance and Communication-Efficient Federated Learning System with Asynchronous Tiers (https://www.notion.so/FedAT-A-High-Performance-and-Communication-Efficient-Federated-Learning-System-with-Asynchronous-Ti-771ca5f82ef149db8a7cb02b9da09552?pvs=21),critical / excellent,"clusters/tiers, novel structure, performance","performance, resource wastage","- usage of tiers
- synergy of asynch & synch FL
- straggler handling","aggregation algo, clustering algo, novel architecture/system, proofs / convergence analysis",- AFAIK : the tiers all update the server individually - this could further be improved if we would use HFL with intermedia cluster heads to do the aggregation + there we could apply more security,not specified,"better dropout/straggler handling, better non-IID handling, faster, improved model quality, reduced resource usage"
